Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Mikal Bridges,28,NYK,SF,82,82,3036,14.0,.585,.391,.100,2.7,7.0,4.9,14.4,1.2,1.3,9.7,19.6,3.7,2.0,5.7,.090,0.4,-0.9,-0.5,1.2,,bridgmi01
2,Josh Hart,29,NYK,SG,77,77,2897,16.5,.611,.327,.266,6.4,22.6,14.6,20.7,2.0,0.9,15.5,15.3,5.4,3.8,9.2,.153,1.1,1.8,2.8,3.6,,hartjo01
3,Anthony Edwards,23,MIN,SG,79,79,2871,20.1,.595,.503,.308,2.4,14.8,8.7,20.9,1.6,1.7,12.0,31.4,4.6,3.8,8.4,.140,4.4,0.0,4.3,4.6,,edwaran01
4,Devin Booker,28,PHO,SG,75,75,2795,19.3,.589,.388,.340,3.1,8.9,6.1,30.6,1.2,0.5,11.9,29.3,6.1,0.3,6.4,.111,2.8,-2.4,0.4,1.7,,bookede01
5,James Harden,35,LAC,PG,79,79,2789,20.0,.582,.516,.446,2.3,16.1,9.3,36.8,2.1,2.0,18.0,29.6,4.0,4.3,8.3,.143,3.5,0.8,4.3,4.4,,hardeja01
6,DeMar DeRozan,35,SAC,SF,77,77,2768,17.7,.569,.196,.337,2.0,10.1,6.0,18.7,1.1,1.1,6.5,25.0,5.7,1.4,7.1,.123,1.2,-1.2,-0.1,1.3,,derozde01
7,Trae Young,26,ATL,PG,76,76,2739,18.3,.567,.467,.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,4.4,1.3,5.7,.100,3.3,-2.7,0.5,1.7,,youngtr01
8,Tyler Herro,25,MIA,SG,77,77,2725,19.7,.605,.486,.237,1.4,14.6,8.1,26.2,1.3,0.6,11.5,28.0,4.7,2.7,7.4,.131,3.8,-0.7,3.1,3.5,,herroty01
9,OG Anunoby,27,NYK,PF,74,74,2706,15.4,.591,.448,.220,4.2,11.0,7.6,8.5,2.0,2.2,8.3,19.7,3.7,2.8,6.5,.116,0.7,0.1,0.7,1.9,,anunoog01
10,Jalen Green,22,HOU,SG,82,82,2697,15.1,.544,.460,.234,1.7,13.4,7.4,16.0,1.3,0.9,11.4,27.3,1.9,3.2,5.1,.092,1.1,-0.5,0.5,1.7,,greenja05
11,Christian Braun,23,DEN,SG,79,77,2675,16.0,.665,.273,.261,4.2,12.2,8.4,10.1,1.5,1.2,8.1,15.8,6.2,1.9,8.0,.144,0.8,-0.5,0.3,1.6,,braunch01
12,Bam Adebayo,27,MIA,C,78,78,2674,18.9,.561,.199,.295,7.7,23.1,15.5,20.0,1.8,1.9,11.4,23.5,3.5,4.0,7.5,.135,1.0,1.0,2.0,2.7,,adebaba01
13,Ivica Zubac,27,LAC,C,80,80,2624,22.3,.641,.000,.251,13.1,30.2,21.8,12.8,1.0,3.4,10.8,19.5,7.0,4.7,11.7,.215,2.3,0.8,3.1,3.4,,zubaciv01
14,Jayson Tatum,26,BOS,PF,72,72,2624,21.7,.582,.497,.300,2.0,23.7,12.9,27.0,1.5,1.3,11.2,31.2,5.3,4.2,9.5,.174,4.4,0.8,5.2,4.8,,tatumja01
15,Jaden McDaniels,24,MIN,PF,82,82,2614,13.3,.562,.363,.153,5.6,14.2,10.0,9.0,2.1,2.6,9.6,16.3,2.3,3.9,6.3,.115,-1.4,1.4,0.0,1.4,,mcdanja02
16,Keegan Murray,24,SAC,PF,76,76,2610,12.0,.553,.548,.088,6.3,15.5,10.9,5.6,1.1,2.6,6.6,15.0,2.4,2.1,4.4,.082,-0.8,-0.8,-1.6,0.2,,murrake02
